customer_sentiment,conversation
neutral, hi sarah i recently ordered a pair of sunglasses from your website but they dont fit me well i want to return or exchange them  sure my order number is bb123456  i want to exchange the sunglasses for a different size  yes im aware of the return policy the sunglasses are unused and in their original packaging  okay how long will the exchange process take  alright that sounds good can you please generate the return label for me  okay ill do that thank you for your help  no thats all thank you
negative, hi i have a question about the loyalty program and redeeming reward points for a speaker  sure my name is john smith and my email is johnsmithemailcom  i have been trying to redeem my reward points for a speaker but the website keeps telling me that the item is out of stock ive been trying for weeks and its frustrating  yes its the jbl flip 5 sku number 789012  is put on hold for a few minutes  no i want the jbl flip 5 ive been saving my reward points for it and i dont want to settle for a different model  no i specifically want the jbl flip 5 ive been eyeing it for a while and i dont want to miss out on redeeming my reward points for it  is put on hold for a few minutes  yes please that would be amazing thank you so much for your help  no thats all thank you so much for your help you really went above and beyond to assist me
neutral, hi rachel i would like to cancel an order for a mobile that i placed yesterday i realized that i dont need it anymore  sure my order number is bb789012 and my registered email address is janedoeemailcom  thats fine rachel please cancel the order as soon as possible  no thats all thank you for your help  thank you rachel you too goodbye
negative, hi rachel i am calling about an issue with my external hard disk i received the invoice for my purchase and i noticed that i have been overcharged for the product  sure my order number is bb789012 and my registered email address is janedoeemailcom  is put on hold for a minute  yes i was charged 150 but the actual price of the product is 100  actually i have another issue with the product its not working correctly and i need assistance troubleshooting the problem  the product is not getting detected on my computer and i am unable to access the data stored in it  yes i have checked the connections and they seem to be fine  is put on hold for a few minutes  okay i will try that thank you for your help  thank you rachel you too goodbye
neutral, hi i recently purchased a smart watch from your website and i was wondering if there are any faster delivery options available  sure its 123456789  sure no problem after a brief hold  okay please do  i was hoping for something faster but i guess that will have to do  yes please do that  sure after a brief hold  yes that sounds good how can i opt for it  my address is 123 main street  no thats all thank you for your help  you too goodbye
negative, hi i need help with my recent order i received a printer but the package was already open and tampered with upon delivery i want to return or exchange it  my name is john and my order number is 123456789  is put on hold for a minute  okay what are my options  i want to exchange it for a new one  no i dont have the original packaging  is put on hold for a minute  okay but i need the printer urgently can you expedite the process  is put on hold for a minute  thats great thank you  no thats all for now  goodbye
neutral, hi i want to cancel my order for an oven toaster grills otg  hi jack my name is john i ordered an otg yesterday but i realized that i dont need it now so i want to cancel the order  sure my order number is bb123456789 agent puts the  on hold for a few minutes  oh no thats not good can you do anything about it  okay i understand how long will it take to get my refund  alright i got it thanks for your help jack  no thats all thanks again jack  thanks you too goodbye
neutral, hi im trying to sign up for a dishwasher on your website but i dont see an option to use my international number for signup can you help me with that  my registered email address is janeemailcom  yes thats correct im trying to create a new account but i dont see an option to use my international number for signup  that would be great please guide me on how to proceed  that sounds simple enough let me try that thank you for your help  no thats all thank you for your assistance  you too goodbye
neutral, hi john i recently received a replacement oven toaster grill otg from brownbox but its not working correctly i want to claim warranty on it can you help me with that  sure its 987654 agent puts the  on hold to check the order details  the heating element of the otg is not working correctly and its not heating up the food  sure ill do that where should i send the pictures  okay ill send the pictures right away  okay i understand is there anything else i need to do  okay thank you for your help  you too goodbye
neutral, hi i recently received an electric kettle i ordered but id like to return it and get a refund  sure its bb123456789  okay ill hold  okay my bank name is xyz my account holder name is john doe and my account number is 123456789  no thats all thank you for your help  thank you you too goodbye
neutral, hi alex i was looking to purchase a hand blender from your website but it shows that the product is out of stock can you please tell me when it will be available again  its the xyz hand blender model number 12345  yes please that would be great  yes its johndoeemailcom  alright thank you for your help alex  no thats all for now thank you again  you too alex goodbye
neutral, hi jack i was trying to order a mobile phone from your website but it says its out of stock can you tell me when it will be available again  yes its the abc mobile phone agent puts the  on hold briefly to look up the information  oh thats disappointing can i still place an order for it or should i wait until its back in stock  okay that sounds good how do i sign up for email notifications  alright ill do that thank you for your help jack  no thats all thank you again  you too jack goodbye
negative, hi sarah i am unable to log in to my account it says that my account is inactive can you help me reactivate it  my name is jane smith and my email address is janesmithemailcom  my billing address is 123 main street anytown usa and the last four digits of the credit card on file are 1234  yes i was able to log in thank you sarah  no thats all but im really disappointed that my account was deactivated without any warning or notice i had important documents saved in my account and i couldnt access them when i needed them this is unacceptable  well i wish i had been notified before my account was deactivated can you make sure that this doesnt happen again in the future  alright thank you for your help sarah have a good day
neutral, hi john i am calling to ask about the free delivery qualification for my tshirt order i thought my order would qualify for free delivery but i was charged a delivery fee  sure my order number is 789012 and my email address is johndoeemailcom  oh i didnt realize that but i thought the free delivery offer was for all orders  i see is there anything i can do to qualify for free delivery now  im not interested in the loyalty program but ill add more items to my cart to meet the minimum order value requirement can you tell me how much more i need to spend  okay ill do that thank you for your help john  no thats all for now goodbye
neutral, hi i was looking to purchase a pair of jeans from your website but it says that the product is out of stock is there any way i can still order it  thank you i appreciate it  yes its the slim fit jeans in size 32 product number 12345  yes please can you tell me more about the product and its availability  yes i think that would be a good alternative can i place an order for it now  i already have an account  alright im logged in  i added the product to my cart but it says that its temporarily unavailable what does that mean  okay i understand ill place the order for the product and im willing to wait for it to be restocked  no thats all thank you for your help  thank you you too goodbye
neutral, hi sarah i recently purchased an air cooler from brownbox but i lost the warranty card can i still obtain warranty without the card  sure my order number is bb123456789  i purchased it two months ago  the air cooler is not cooling the room as it used to  yes i cleaned the air filters but it didnt help  yes thats fine do i need to pay for the shipping  sure my email address is johndoeexamplecom  no thats all for now thank you for your help sarah  thank you sarah you too goodbye
neutral, hi laura i noticed that the price of the mobile phone i want to purchase is different on the website and the mobile app can you help me understand why that is  yes im looking to buy the samsung galaxy s21  oh i see but why is there a difference in the price for the same product  i see but is it fair to offer different prices for the same product  okay i understand but i prefer to shop on the website can i still get the same discount  alright i understand can you help me with the steps to download and use the mobile app  okay that sounds easy enough thank you for your help laura  no thats all thank you again
negative, hi sarah i recently ordered an induction cooktop from your website and i saw that theres an exchange offer going on i want to know if i can avail of that discount  sure its 123456789  thats ridiculous i didnt see the offer while placing the order and now im supposed to pay the full amount this is not fair  okay please transfer my call after a few minutes senior agent hello this is mark how may i assist you today  hi mark i recently ordered an induction cooktop from your website and i missed the exchange offer i want to know if i can still avail of that discount senior agent im sorry to hear that you missed the exchange offer while placing your order as a goodwill gesture i can provide you with a discount coupon for your next purchase on our website  thats great thank you so much mark senior agent youre welcome is there anything else i can help you with today  no thats all thank you again for your help senior agent youre welcome have a great day
neutral, hi alex i have a question about my loyalty points for the smart band i purchased from your website im not sure how to redeem them or if they have an expiration date  sure my name is john smith and my email address is johnsmithgmailcom  okay that sounds good can you explain how i can redeem them  thats helpful i have one more question what happens if i return the smart band will i lose my loyalty points  i see thank you for clarifying that  no thats all thank you for your assistance
neutral, hi i need help adding a new email address to my brownbox account  sure my account email is johndoeemailcom  yes the new email address is janedoeemailcom  okay thank you for the instructions and what if i want to use the new email address to log in to my account  got it thank you so much for your help  no thats all thank you again  thank you you too goodbye
neutral, hi i have a problem with the dishwasher i received from brownbox  sure its bb987654321  i received a wrong item instead of a dishwasher i received a microwave oven  sure ill hold  okay what can i do now  okay that sounds good  its dw456  no thats all thank you for your help  thank you you too goodbye
neutral, hi alex i am trying to log in to my account on the brownbox mobile app to purchase a wet grinder but i am unable to do so can you help me  i am trying to log in with my mobile number  sure my registered mobile number is 1234567890  is put on hold for a minute  no i havent but i thought i could log in using my mobile number  okay i will try that thank you for your help  no thats all for now thank you
neutral, hi i want to return a pendrive that i received from your company  my order number is 9876543 and i want to return the pendrive because its not compatible with my device  its a macbook pro  sure after a few minutes  i have already tried those steps and the issue is still there  i received it 10 days ago  okay i understand  no thats all thank you for your help  you too goodbye
neutral, hi tom i recently purchased a backpack from brownbox and i noticed some hidden charges on my bill can you help me understand why i was charged extra  sure my order number is 789012  i understand that tom but i wasnt aware that the shipping fee and taxes would be so high is there anything you can do to help me with this  yes please that would be great  no thats all thank you for your help tom  you too goodbye
negative, hi im having an issue with my order  my order number is 123456 and i ordered a smart watch from two different sellers i was expecting a combined delivery but i received two separate deliveries and one of them is missing  sure  the missing delivery was supposed to arrive yesterday but i havent received it yet  okay but please make it quick im already frustrated with this whole experience  thats not good enough i need the watch today i have an important meeting tomorrow and i need to wear it  okay ill accept the refund but what about the combined delivery that i was expecting  yes please do that  yes you have my permission  no thats all but im not happy with the service i received  no i just want my refund and the watch delivered as soon as possible  okay goodbye
neutral, hi sarah my name is lisa i recently received a computer monitor from your website and its not working correctly i want to return it and get a replacement  sure my order number is bb67890  the monitor is not displaying the correct colors and the image is blurry  yes i received a free keyboard and mouse with the monitor  sure i understand how do i proceed with the return process  okay that sounds good how long will the process take  alright i understand thank you for your help sarah  no thats all for now thanks again  you too sarah goodbye
neutral, hi sarah i recently ordered a wristwatch from your website and i was wondering about the delivery process can you please guide me  yes its 123456789  thats great to hear can you please tell me which delivery method you are using  okay thanks for letting me know can you also confirm the delivery process for me  sounds good is there anything else i should be aware of  thank you so much for your help sarah you have been very helpful
negative, hi there im calling because i need a copy of my invoice for a hand blender i purchased from brownbox a few months ago  i dont have the order number with me right now can you still help me  sighs my name is jane smith and my email address is janesmithemailcom  impatiently okay but please hurry  yes thats the one can you send me a copy of the invoice  irritated yes i already told you that  no thats all i just hope i receive the invoice this time  no thats all thank you for your help  sarcastically yeah you too goodbye
negative, hi sarah my name is john im trying to order a hand blender from your website but it says its not available for shipping to my location can you help me with that  yes im in miami florida  no i specifically need the hand blender why isnt it available for shipping to my location  thats not good enough sarah i need the hand blender urgently cant you make an exception and ship it to me  okay please tell me  alright ill check those options but im really disappointed with your service sarah i expected better from brownbox  no thats all thank you for your help sarah  thank you sarah goodbye
neutral, hi sarah my name is lisa i ordered a coffee maker last week and im not sure about the order status can you help me with that  sure my order number is bb67890 agent checks the status of the order  okay thats good to know can you explain the different order statuses that i see in my orders  okay got it thanks for explaining that sarah  actually yes i have a question about the warranty for the coffee maker can you tell me more about that  okay great thanks for your help sarah  you too sarah goodbye
neutral, hi john i have a query regarding the return and refund of a wristwatch that i bought from your website  yes its bb789012 agent puts the  on hold to check the order details  the watch is not fitting me properly and i would like to return it for a refund  yes i have the original packaging and tags can you tell me how long it will take to receive the refund  thats good to know can you also tell me how long it will take to receive the replacement if i opt for an exchange  alright i think ill go for a refund can you guide me on how to initiate the return process  okay ill do that thank you for your help john  no thats all for now  thanks you too goodbye
neutral, hi alex i received an air cooler yesterday but its not working correctly i want to return it and get a replacement  yes its 543210 agent puts the  on hold for a minute  great thank you but im unable to click the cancel button for the air cooler on my account page can you help me with that  im using google chrome  alright let me try that  puts the call on hold for a few minutes  its still not working what should i do now  sure my email address is johndoeemailcom  okay got it thank you for your help alex  no thats all for now thank you  thank you you too goodbye
negative, hi max i am calling to inquire about my order for a kitchen chimney it was supposed to be delivered yesterday but i havent received it yet  the order number is bb789034 and my name is john smith  is put on hold for a few minutes  thats not acceptable i need the kitchen chimney urgently and i cant wait for another 24 hours  yes my address is 123 main street anytown usa and my contact number is 555 1234567  i have already checked with them and they havent received anything  sure  is put on hold for a few minutes  yes that works for me thank you  no thats all for now thank you for your help max  you too max goodbye
neutral, hi im looking to purchase a refrigerator from brownbox but i need it to be delivered faster do you have any expedited delivery options available  sure my name is lisa and my email is lisaemailcom  yes please i need the refrigerator as soon as possible  yes its rfr1234  is put on hold for a minute  i was hoping to get it sooner but i guess that will have to do can you give me an estimate of when it will be delivered  that sounds good can you help me place the order now they proceed to place the order together  no thats all thank you for your help tom  you too tom goodbye
neutral, hello i need help determining the start date for the warranty of my computer monitor that i bought from brownbox  yes my order number is 12345678 and my name is sarah johnson  no its working fine i just wanted to know when the warranty period started in case i need to use it later  okay got it thank you for clearing that up  no thats all thank you for your help
neutral, hello i want to return a washing machine that i received but it is not the one i ordered  yes my order number is bb987654321  i ordered a frontloading washing machine but i received a toploading one instead  no the outer box was intact and there was no damage to it  sure ill be on hold  no thats all thank you for your help  thank you you too goodbye
negative, hi i have an issue with the delivery of my electric cooker i received a notification that the delivery was attempted but no one showed up and the delivery was not attempted again i need the cooker urgently and this delay is causing me a lot of inconvenience  sure my order number is bb123456 and my registered email address is janedoeemailcom  yes please schedule a new delivery as soon as possible i need the cooker urgently  yes that works for me please schedule the delivery for tomorrow  no thats all thank you for your help  thank you you too goodbye
negative, hi emily im calling to inquire about the return fee for a baby food that i received  the order number is bb123456 and the product is organic baby food stage 1  my baby is allergic to it and i need to return it  i would prefer a pickup its difficult for me to ship it back  yes my address is 123 main street anytown usa and my contact number is 555 1234567  no i wont be available at that time  how about monday between 10 am and 12 pm  yes i noticed that theres a return fee mentioned on your website how much will i be charged for the return  thats good to hear thank you for your help emily  you too emily goodbye
neutral, hi john my name is mike i recently ordered a pair of shoes from brownbox but i need to cancel the order can you help me with that  yes my order number is bb123456  yes i found the same pair of shoes at a lower price from another retailer  okay i understand  no thats it thank you for your help john  thank you john you too goodbye
neutral, hello i have a dishwasher that i purchased from brownbox and i seem to have misplaced the warranty card is it possible to obtain warranty without the card  yes my name is john smith and my order number is bb987654321  i purchased it about six months ago  the dishwasher is not cleaning the dishes properly  no i havent how do i do that  okay let me try that after a few minutes  i cleaned the filter but the issue still persists  sure my address is 456 oak street anytown usa and my phone number is 555 9876543  no thats all thank you for your assistance  you too goodbye
neutral, hi lisa i recently purchased an electric kettle from brownbox and it came with a wall mount for televisions can you help me understand why that was included in my package  yes my order number is bb24681012  sure let me check pause oh im sorry lisa it seems like i made a mistake the wall mount was actually included in a different package that i received from another company i must have confused it with the electric kettle package im sorry for wasting your time  actually since were talking about the electric kettle i do have a question about it does it come with any accessories or attachments  yes i was wondering if theres a wall mount available for the electric kettle or if i can purchase one separately  no thats alright thank you for letting me know i appreciate your help  thank you lisa you too goodbye
negative, hi rachel i am calling regarding the refund for an electric kettle that i returned a few days ago i still havent received the refund in my bank account  sure the order number is bb789012 and i returned the kettle on the 5th of this month agent puts the  on hold briefly to check the refund status  yes i have checked my statement but there is no sign of the refund  okay i will check with my bank can you please provide me with the reference number  thank you for your help rachel  you too rachel goodbye
negative, hi i want to return an oven toaster grills otg i purchased from brownbox  sure its bb123456789  the product is not working correctly  i received it a month ago  what this is ridiculous i want to return the product and you should accept it  okay go ahead  yes it is  yes it is  no its not working  okay ill contact the manufacturer thanks for your help  thanks you too goodbye
neutral, hi sarah im trying to change the email address linked to my account for an order of jeans that i placed last week can you help me with that  my name is emily and the email address currently linked to my account is emily123gmailcom  yes my mobile number is 1234567890 and the email address that i used during the account registration process is emily321gmailcom  okay let me check the code is 1234  the new email address is emilynewgmailcom agent updates the email address in the system  thank you so much for your help sarah you made the process so easy for me  no thats all for now thanks again  you too sarah goodbye
positive, hi sarah this is john i have a question regarding a sweatshirt i purchased from your website  yes my order number is bb987654321  i was wondering if you could help me find the sellers return policy for this sweatshirt im not able to find it on the website  yes the sellers name is fashionablewear agent puts the  on hold briefly to investigate the issue  oh i see thank you for checking that for me sarah  no thats all thank you for your help  i appreciate your assistance sarah have a great day
negative, hi i have a complaint about the service center denying my repair request for a microwave oven  sure its bb123456789  i purchased a microwave oven from brownbox a few months ago and it stopped working last week i contacted the service center and they denied my repair request stating that the warranty doesnt cover the issue  okay ill hold  yes that would be great thank you for your help  no thats all thanks again for your help  thanks you too goodbye
neutral, hi sarah i recently purchased a coffee maker from your website i was reading through the warranty terms and noticed that there have been some changes i just wanted to know how these changes will impact my product  sure its 123456  okay thats good to know can you explain the coverage of my warranty  that sounds great what if i accidentally damage the product  yes i would like to purchase the extended warranty plan can you tell me more about it  that sounds like a good deal how do i purchase the extended warranty plan  can you transfer me to the sales team please  thank you sarah you too goodbye
negative, hi sarah i am calling to complain about the wristwatch i received it arrived damaged and the packaging was poor  yes its 987654  the watch face was scratched and the strap was broken  sure after a few minutes  i would like a replacement watch please  thank you sarah i appreciate your efforts  you too goodbye
negative, hi sarah i received a damaged pramstroller that i ordered from your website the packaging was not good enough to protect it during transit  yes its bb789012 agent puts the  on hold to check the order details  okay what do i need to do  okay how do i return the item  alright what about the refund  how long will the refund process take  okay thank you for your help  no thats all for now  thanks you too goodbye
neutral, hi sarah i recently purchased a water purifier from your website and i received an email asking me to ship the item can you help me understand why im being asked to ship it  yes its bb123456789  okay ill hold  okay i understand can you guide me on how to ship it back to you  yes please  okay got it is there anything else i should know  no thats all thank you for your help  thanks you too goodbye
negative, hi i placed an order for a wet grinder and it was approved but it hasnt been shipped yet can you tell me whats going on  sure its bb123456789  okay ill hold  okay please do that  thats not acceptable i needed the wet grinder for an event and now i wont have it on time  okay but please hurry  thats better thank you for doing that  no thats all i just hope i receive the wet grinder tomorrow  thanks bye
positive, hi im interested in purchasing a washing machine from brownbox can you help me with the order placement process  yes its the xyz model sku number 123456  yes please  okay ive added it to my cart whats next  alright ive filled out all the necessary information is there anything else i need to do  okay ive placed the order when can i expect to receive the washing machine  thats perfect thank you for your help  no thats all thank you again
neutral, hi i have a question about my recent purchase of an oven toaster grills otg  sure its bb987654321  i was surprised to see some hidden charges on my bill for the otg can you explain them to me  okay ill hold  but i thought the delivery and installation charges were included in the price of the otg  thats not fair can you waive off these charges  okay i understand can you help me with the installation process then  yes i do  its otg456  okay ill do that  thank you thats very helpful  no thats all thank you for your help  thank you you too goodbye
neutral, hello i am trying to log in to my account but its asking me to verify my mobile number or email address why is that  okay i understand but i am not receiving the verification code on my phone or email  my registered mobile number is 1234567890 and my email address is johndoeemailcom  okay ill try again and let you know after a few minutes  i still havent received the verification code  my name is john doe and my billing address is 123 main street anytown usa  thank you i am able to log in now  no thats all thank you for your help  thank you you too goodbye
neutral, hi john i recently purchased a wristwatch from your website and i noticed that there was an instant cashback offer on it can you help me understand how it works  yes my order number is 234567890 and my email address is xyzgmailcom  okay thats great can you also confirm if the offer is applicable on all wristwatches or just the one i purchased  yes its model number xyz123  no thats all thank you for your help
neutral, hi im having trouble logging in to my account on my tablet it keeps asking me to verify my mobile number or email address but im not sure how to do that  sure my email address is johndoeemailcom and my mobile number is 1234567890  yes i received a text message with a verification code do i need to enter that code somewhere  that would be great im not sure where to enter the code  okay i see it now ive entered the code and it says my account is verified thank you so much for your help  no thats all for now thanks again  you too goodbye
negative, hi i want to return a wet grinder that i purchased from brownbox last week  my order number is 12345678 and my name is jane doe  yes the grinder is not working properly its not grinding the way its supposed to and im very disappointed  yes i have i followed the instructions in the manual but its still not working correctly  yes its unused and i have the original packaging  how long will that take  okay thats fine but i have a question i noticed that the return policy on your website says that the item should be returned within 14 days of purchase its been more than 14 days since i purchased the grinder  okay thank you for your help i appreciate it  no thats all
neutral, hi john i am trying to signup for an external hard disk using my corporate email id but its not working can you help me with that  its saying invalid email address please try again  yes its johndoeabccompanycom  okay that works how do i do that  sure its johndoegmailcom  okay got it thank you so much for your help john  no thats all thank you again
neutral, hi lisa i recently purchased a backpack from brownbox and i want to know about the pickup process  sure its bb987654321  yes i wont be available to receive the delivery so i want to know if i can pick it up from the nearest brownbox store  yes please can you guide me through the process  okay got it how long will it take for my order to arrive at the warehouse  sounds good thank you for your help lisa  no thats it thank you for your help  thank you bye
negative, hi im calling to inquire about the availability of an external hard disk on your website for international shipping  yes im looking for the seagate backup plus 5tb external hard disk  is put on hold for a minute  no i specifically wanted the seagate one this is really frustrating why cant you keep your stock up to date  no thats all ill have to look for it elsewhere  okay thank you  yeah you too bye
negative, hi jack i placed an order for a pendrive a week ago and it still hasnt arrived i paid for standard shipping and i was wondering why its taking so long  sure its bb123456789  thats ridiculous i paid for shipping and i expect my package to arrive on time  is put on hold for a minute  this is unacceptable i need that pendrive for work and i cant afford to wait any longer cant you do something to speed up the delivery  is put on hold for a few minutes  thats much better thank you for your help jack  no thats all for now thank you again
neutral, hi rachel i have a question about my recent order i received an email asking me to ship the item for an induction cooktop can you explain why im being asked to ship it  yes its bb789012  oh i see that makes sense how do i go about shipping it  that sounds easy enough how long will it take for me to receive my order after i ship it  alright thank you for explaining that to me  no thats all i needed help with thank you for your assistance rachel  thank you rachel you too goodbye
negative, hi sarah im calling about my order for a computer monitor i placed the order two weeks ago and i still havent received it can you tell me when i can expect it  sure its bb987654321 agent puts the  on hold to check the order details  three more days thats unacceptable i was expecting it to be delivered last week  well i need the monitor urgently for work and i cant afford to wait any longer can you cancel the order and refund my money  this is ridiculous im never shopping from brownbox again  no i just want my monitor as soon as possible  no thank you  whatever
negative, hi jack i received a backpack from brownbox but its not what i expected i would like to return it and get a replacement  sure the order number is bb123456 and the items name is abc backpack agent puts the  on hold briefly to look up the information  yes thats correct  the backpack is smaller than the dimensions mentioned on your website and the quality is not up to the mark agent puts the  on hold briefly to check the policy  okay i understand can you please initiate the return and replacement process for me  sure my shipping address is 456 elm street anytown usa  no thats all but im disappointed with the quality of the product and the delay in the replacement timeline  no thats all thank you for your help jack  thank you jack you too goodbye
negative, hi sarah this is mary im having an issue with a return and refund for an inverter i purchased from your website  yes my order number is bb123456789  well i received the inverter and its not working correctly i contacted your support team and they asked me to return it for a refund i shipped it back to your warehouse last week but i havent received my refund yet  sure let me check the tracking number is 123456789  sure agent puts the  on hold for a few minutes  yes my email address is maryexamplecom  no thats all i just want my refund as soon as possible  thank you sarah i appreciate your assistance
negative, hi jane my name is emily i recently ordered a bp monitor from brownbox but i need it urgently can you tell me if there are any faster delivery options available  yes my order number is bb456789123  i need it delivered to my home address in new york city  sure go ahead agent puts the  on hold for 2 minutes while she checks the availability of faster delivery options  what do you mean i need the bp monitor urgently i cant wait for a long time  this is unacceptable i need the bp monitor for my mother who is sick cant you do anything to expedite the delivery  no i dont want a refund i need the bp monitor can you transfer me to your supervisor or someone who can help me  yes my phone number is 1234567890 and my email address is emilydoeexamplecom  no thats all for now thank you for your help  you too goodbye
neutral, hi sarah i recently received a toy i purchased from your website but its not what i expected i want to return it and get a refund  yes my order number is bb123456  a return fee i wasnt aware of that why do i have to pay a fee  i see okay im willing to pay the fee how do i proceed with the return  okay ill do that how long will it take for me to get my refund  alright i understand thank you for your help sarah  no thats all for now goodbye
negative, hi sarah i am calling regarding my external hard disk i purchased it from brownbox a few months ago and i cant seem to find the warranty card now its not working and i need to claim the warranty can you help me with that  sure my order number is bb789012 and the product is a seagate backup plus slim 2tb external hard drive agent puts the  on hold briefly to check the warranty status  the purchase date was 1st january 2021 and the serial number is abc123456  yes please how long will it take to get the replacement  no thats all for now thank you for your help sarah  you too sarah goodbye
negative, hi rachel i am calling regarding my order for an air cooler i received a damaged product and i want to return it  sure my order number is bb1234 and my email address is johngmailcom  the fan blades are broken and the motor is not working  i would prefer a pickup  okay but i have a question will i have to pay for the return shipping  thats a relief thank you for your help rachel  no thats all thank you again  you too goodbye
negative, hi alex i have a problem with my water geyser its not working and i cant find my warranty card can you help me with the process of claiming warranty without a warranty card  i dont have an order number i purchased it from a local store  yes i have the receipt  i bought it from xyz store on 1st january 2021  yes please  okay thank you do i need to send the water geyser to them  alright thank you for your help alex  no thats all for now  thank you alex goodbye
neutral, hello im trying to log in to my brownbox account to purchase a wet grinder but its asking me to verify my mobile number or email address why do i need to do that  hi my name is john smith and my email address is johnsmithemailcom  yes i received the code on my mobile number but im having trouble entering it can you help me with that  okay let me try that  puts the call on hold for a minute  i tried entering the code again but its still not working can you resend the code to me  okay i received the code and it worked this time thank you for your help sarah  no thats all thank you again sarah  you too sarah goodbye
neutral, hi alex i am calling to inquire about the return check and fees for a bp monitor i recently returned  sure my order number is bb123456 and my email address is johnsmithemailcom agent puts the  on hold to check the account details  oh i wasnt aware of the return check fee can you tell me more about it  i see is there any way to waive this fee  no thats okay i understand can you tell me when i can expect to receive the refund  alright thank you for your help  no thats all for now thank you  thank you you too goodbye
negative, hi im calling because i havent received my refund for a vacuum cleaner that i returned two weeks ago  my name is john and my email is johndoeemailcom  sure its bb123456  is put on hold  yes its linked to my savings account with bank of america  i already checked with my bank and they said they havent received any refund  no thats all i appreciate your help sarah  thank you sarah goodbye
negative, hi rachel i am trying to order a water purifier but i am unable to order specific products such as a television airconditioner refrigerator washing machine furniture microwave treadmill at my location can you help me with that  my name is john and i live in new york city  is put on hold for a minute  no i am not interested in any other products i need the water purifier urgently can you tell me when it will be available  is put on hold for a few minutes  i dont want any alternative options i need that specific product this is ridiculous  no i just want to cancel my order and get a refund  my order number is bb123456789  is put on hold for a minute  thats fine please cancel the order and initiate the refund  no thats all thank you for your help  alright i will thank you again rachel have a good day
neutral, hi mark im calling because i need to change the password for my account i recently purchased a water geyser from your website  sure my email address is johndoeemailcom and the order number is 987654  sure its 1234  okay ill try that but what if i have trouble changing my password  okay ill keep that in mind thank you for your help  no thats all thank you
neutral, hi i wanted to check the confirmation and status of my order for an inverter i purchased from your website  yes its bb123456  sure  okay thats great can you also tell me the tracking number for my shipment  sure  okay thanks for the information is there anything else i need to know  alright thank you for your help  you too goodbye
negative, hi jane i am calling to inquire about the exchange offer for an air conditioner i am frustrated because i cannot find any details about the offer on your website  yes it is the lg 15 ton 5 star inverter split ac  that sounds great can you give me more details about the offer  thats fantastic can you tell me how to proceed with the exchange offer  okay that makes sense can you tell me the estimated time for the evaluation  alright i understand thank you for your help jane  no thats all for now  you too goodbye
negative, hi sarah my name is lisa and i have an issue with a backpack i ordered  sure my order number is bb123456789  i received the backpack yesterday and its not what i expected i want to return it and get a refund  its not the same color as shown on the website and its smaller than what i expected  is put on hold for a minute  i would prefer to have it picked up from my location  provides the address and preferred date and time  alright ill do that how long will it take to process the refund  okay thank you sarah i appreciate your help  no thats all thank you again
neutral, hi john i am calling about my recent laptop purchase i received the laptop a few days ago but i havent received the invoice yet i need the invoice for reimbursement purposes can you help me with that  sure my order number is bb123456 and the product is a dell inspiron 15 5000 series laptop agent puts the  on hold briefly to check the invoice status  thank you john i appreciate your help can you also confirm the payment method for my order  i used my credit card for the payment  no thats all for now thank you for your help john  you too john goodbye
negative, hi john im having trouble receiving the otp or verification code for a computer monitor i recently purchased from your website  my name is jane and my order number is 123456  sure my mobile number is 1234567890 and my email address is janegmailcom  i have checked all folders but i havent received any otp or verification code yet  yes i have a strong network connection  the last four digits are 7890  yes i have received the otp thank you so much john for your help  no thats all thank you again for your assistance  you too goodbye
neutral, hi i need to cancel an order for a laptop  sure its bb123456789  i found a better deal on another website  sure ill hold  what do you mean i just placed the order an hour ago  how long will it take  okay please cancel the order as soon as possible  no thats all thank you for your help  thank you you too goodbye
neutral, hi kate i recently purchased a coffee maker from your website and i am having trouble logging in it is asking me to verify my mobile number or email address but i am not sure what to do  sure it is bb67890  i would prefer the text message to my mobile number  yes it is 1234567890  receives the code and provides it to the agent  great thank you so much for your help kate  no thats all for now  you too kate goodbye
negative, hi im calling about my order for baby food it reached the nearest hub but its not out for delivery yet can you tell me whats going on  hi my name is jane doe and my order number is 123456  but its been three days since it reached the hub why is it taking so long  well i need the baby food for my baby and im running out of it can you do anything to expedite the delivery  i dont want a refund i need the baby food for my baby can you at least tell me when i can expect the delivery  okay i guess thats better than nothing can you please make a note of it on my account  no thats all thank you for your help emily  you too emily goodbye
negative, hi i have a query regarding the loyalty program  my name is john smith  i have been collecting reward points for a while now and i wanted to redeem them for a smart band but when i tried to redeem them the system showed an error message  sure my account number is 123456789  it showed that the reward points i have collected are not enough to redeem the smart band but i have more than enough points  is put on hold for a few minutes  okay so what can we do now  i want to redeem the latest model smart band  thank you for your help but i also want to know why this happened i have been a loyal  for years and i dont expect such errors  okay i appreciate that thank you for your help  no thats all thank you for your help
negative, hi i have a problem with the headphone i received i want to return it  my name is lisa and my order number is 987654321  the headphone doesnt work properly the sound is distorted and it doesnt cancel the noise as advertised  yes i have everything  what why do i have to pay a return fee its not my fault that the headphone is defective  thats ridiculous i dont want to pay the fee  okay i guess thats better than nothing can you tell me how to send the headphone back  okay thank you for your help  no thats all  you too goodbye
